Biomass species,MC,VM,FC,Ash,C,H,O,N,S,oC,ER,S/B,CO,CO2,H2,CH4
Rice Husk,9.95,59.92,11.31,18.82,49.07,3.79,46.42,0.63,0.09,725,0,1.32,18.83,26.22,50.23,4.72
Sugarcane Bagasse,13.05,71.04,12.57,3.35,46.1,5.26,44.25,0.19,4.2,725,0,1.32,17.17,24.2,53.06,5.57
Groundnut Shell,10.12,60.64,23.84,5.39,52.54,5.37,41.01,0.59,0.49,725,0,1.32,20.08,21.29,53.01,5.62
Rice Husk,9.95,59.92,11.31,18.82,49.07,3.79,46.42,0.63,0.09,750,0,1.32,19.97,24.84,50.47,4.72
Sugarcane Bagasse,13.05,71.04,12.57,3.35,46.1,5.26,44.25,0.19,4.2,750,0,1.32,18.72,22.65,54.1,4.53
Groundnut Shell,10.12,60.64,23.84,5.39,52.54,5.37,41.01,0.59,0.49,750,0,1.32,21.54,20.04,53.9,4.53
Rice Husk,9.95,59.92,11.31,18.82,49.07,3.79,46.42,0.63,0.09,775,0,1.32,21.54,24.05,51.35,3.06
Sugarcane Bagasse,13.05,71.04,12.57,3.35,46.1,5.26,44.25,0.19,4.2,775,0,1.32,19.87,22.65,53.9,3.58
Groundnut Shell,10.12,60.64,23.84,5.39,52.54,5.37,41.01,0.59,0.49,775,0,1.32,23.12,18.05,55.17,3.65
Rice Husk,9.95,59.92,11.31,18.82,49.07,3.79,46.42,0.63,0.09,800,0,1.32,22.77,22.97,51.77,2.5
Sugarcane Bagasse,13.05,71.04,12.57,3.35,46.1,5.26,44.25,0.19,4.2,800,0,1.32,21.28,20.78,54.95,3
Groundnut Shell,10.12,60.64,23.84,5.39,52.54,5.37,41.01,0.59,0.49,800,0,1.32,24.08,17.98,54.95,3
Sawdust,6.11,74.6,15.82,3.47,50.6,7.45,41.86,0.08,0.01,800,0.15,0,37.57,25.05,26.59,10.79
Sawdust,6.11,74.6,15.82,3.47,50.6,7.45,41.86,0.08,0.01,800,0.25,0,33.51,36.08,23.2,7.22
